Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Sales,Share_NA,Share_EU,Share_JP,decade_cohort
27,Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32,15.32,0.36357702349869453,0.21409921671018275,0.36879895561357706,2010
28,Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,15.3,0.22483660130718952,0.35032679738562095,0.3477124183006536,2000
29,Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,14.969999999999999,0.4575818303273213,0.34001336005344024,0.12491649966599869,2000
30,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,14.76,0.6117886178861788,0.2899728997289973,0.00880758807588076,2010
31,Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,14.64,0.4023224043715847,0.3442622950819672,0.21311475409836064,1990
32,Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,14.64,0.66051912568306,0.2547814207650273,0.007513661202185792,2010
33,Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35,14.349999999999998,0.36027874564459933,0.28222996515679444,0.30243902439024395,2010
34,Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision,5.77,5.81,0.35,2.31,14.24,14.239999999999998,0.40519662921348315,0.4080056179775281,0.02457865168539326,2010
35,Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,14.040000000000001,0.3554131054131054,0.41880341880341876,0.046296296296296294,2010
36,Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,13.740000000000002,0.6004366812227073,0.3129548762736535,0.005094614264919942,2010
37,Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,13.52,0.6301775147928994,0.26849112426035504,0.00591715976331361,2000
38,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,13.469999999999999,0.41128433556050487,0.4320712694877506,0.03637713437268003,2010
39,Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,13.100000000000001,0.533587786259542,0.3442748091603053,0.022900763358778622,2000
40,Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,13.04,0.517638036809816,0.20015337423312884,0.2039877300613497,2000
41,Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,12.730000000000002,0.4697564807541241,0.34878240377062053,0.03770620581304005,2010
42,Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,12.280000000000001,0.20765472312703578,0.2866449511400651,0.4340390879478827,2000
43,Mario Kart 7,3DS,2011.0,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,12.21,0.3882063882063882,0.3202293202293202,0.21867321867321865,2010
44,Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,12.14,0.6565074135090609,0.2331136738056013,0.010708401976935749,2000
45,Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,11.989999999999998,0.316930775646372,0.4845704753961635,0.030025020850708926,2010
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,Nintendo,4.4,2.77,3.96,0.77,11.9,11.899999999999999,0.36974789915966394,0.2327731092436975,0.3327731092436975,2000
47,Super Mario 64,N64,1996.0,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,11.9,0.5806722689075631,0.23949579831932774,0.16050420168067225,1990
48,Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,11.649999999999999,0.25836909871244634,0.0008583690987124465,0.09442060085836912,2000
49,Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,11.52,0.5347222222222222,0.2951388888888889,0.10416666666666667,2000
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33,11.33,0.37334510150044137,0.2974404236540159,0.27184466019417475,2010
51,Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,11.179999999999998,0.5509838998211093,0.1824686940966011,0.24060822898032205,1990
52,Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,11.03,0.6128739800543971,0.28105167724388036,0.012692656391659113,2000
53,Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,10.95,0.36712328767123287,0.3534246575342466,0.2319634703196347,1990
54,Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,10.79,0.4531974050046339,0.2771084337349398,0.1974050046339203,2010
55,Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,10.77,0.27483751160631387,0.4531104921077066,0.07520891364902507,2010
56,Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,10.690000000000001,0.4667913938260056,0.3451824134705332,0.03554724041159962,2000
57,Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,10.579999999999998,0.449905482041588,0.35538752362948967,0.04158790170132326,2000
58,Super Mario All-Stars,SNES,1993.0,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,10.55,0.5677725118483412,0.20379146919431276,0.2009478672985782,1990
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,10.49,0.41372735938989513,0.2526215443279313,0.3002859866539561,2000
60,Super Mario 64,DS,2004.0,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,10.42,0.4875239923224568,0.29846449136276393,0.1199616122840691,2000
61,Just Dance 3,Wii,2011.0,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26,10.27,0.5890944498539435,0.3067185978578384,0.0,2010
62,Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,10.209999999999999,0.6581782566111656,0.257590597453477,0.0039177277179236044,2010
63,Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,9.87,0.71225937183384,0.20060790273556234,0.008105369807497468,2010
64,Mario Kart 64,N64,1996.0,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,9.870000000000001,0.5623100303951367,0.19655521783181354,0.22593718338399188,1990
65,New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,9.830000000000002,0.37232960325534076,0.3123092573753814,0.25127161749745675,2010
66,Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,9.76,0.6793032786885246,0.24180327868852458,0.004098360655737705,2010
67,Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,9.719999999999999,0.3096707818930041,0.2541152263374486,0.3374485596707819,1990
68,Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,9.580000000000002,0.4269311064718162,0.38935281837160746,0.039665970772442584,2010
69,Just Dance 2,Wii,2010.0,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,9.52,0.6134453781512605,0.3035714285714286,0.001050420168067227,2010
70,Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,9.49,0.4088514225500527,0.36037934668071653,0.1780821917808219,1990
71,Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,9.32,0.6341201716738197,0.2553648068669528,0.013948497854077254,2000
72,Donkey Kong Country,SNES,1994.0,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,9.3,0.46881720430107526,0.18387096774193545,0.3225806451612903,1990
73,Minecraft,X360,2013.0,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,9.2,0.6065217391304348,0.30760869565217397,0.002173913043478261,2010
74,Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,9.100000000000001,0.22087912087912082,0.25494505494505487,0.4791208791208791,2010
75,Mario Party DS,DS,2007.0,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,9.02,0.4944567627494457,0.20842572062084258,0.21951219512195122,2000
76,The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,8.84,0.5690045248868779,0.3235294117647059,0.011312217194570137,2010
77,Super Mario Kart,SNES,1992.0,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,8.77,0.4036488027366021,0.14139110604332955,0.4344355758266819,1990
78,FIFA 16,PS4,2015.0,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49,8.49,0.13074204946996468,0.7137809187279152,0.007067137809187279,2010
79,Wii Party,Wii,2010.0,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,8.49,0.21083627797408716,0.4157832744405182,0.2932862190812721,2010
80,Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,8.48,0.8042452830188679,0.1804245283018868,0.00589622641509434,2000
81,Mario Party 8,Wii,2007.0,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,8.42,0.4524940617577197,0.2731591448931116,0.18764845605700714,2000
82,Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33,8.34,0.3489208633093525,0.22302158273381298,0.37649880095923266,2010
83,FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,8.25,0.12848484848484848,0.6121212121212121,0.01575757575757576,2010
84,The Sims 3,PC,2009.0,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,8.11,0.12083847102342787,0.7916152897657214,0.0,2000
85,GoldenEye 007,N64,1997.0,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,8.09,0.7169344870210136,0.24845488257107537,0.016069221260815822,1990
86,Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,Sega,2.58,3.9,0.66,0.91,8.06,8.05,0.3204968944099379,0.48447204968944096,0.08198757763975155,2000
87,Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,8.040000000000001,0.3619402985074627,0.25746268656716415,0.33955223880597013,2000
88,Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,7.86,0.2900763358778626,0.2188295165394402,0.4618320610687023,1990
89,Pokémon Platinum Version,DS,2008.0,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84,7.839999999999999,0.35969387755102045,0.22704081632653064,0.3431122448979592,2000
90,Pac-Man,2600,1982.0,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,7.8100000000000005,0.9321382842509602,0.057618437900128036,0.0,1980
91,Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,7.720000000000001,0.37564766839378233,0.366580310880829,0.0310880829015544,2000
92,Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,7.7,0.4753246753246753,0.3142857142857143,0.12727272727272726,2010
93,Star Wars Battlefront (2015),PS4,2015.0,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67,7.67,0.3820078226857888,0.4289439374185137,0.02868318122555411,2010
94,Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,7.609999999999999,0.3679369250985545,0.43363994743758216,0.01839684625492773,2010
95,The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,7.6,0.5394736842105263,0.24868421052631579,0.19078947368421054,1990
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,7.569999999999999,0.4993394980184941,0.28665785997357995,0.1730515191545575,1990
97,Super Mario Bros. 2,NES,1988.0,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,7.46,0.7225201072386058,0.1581769436997319,0.0938337801608579,1980
98,Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45,7.4399999999999995,0.435483870967742,0.18145161290322584,0.32526881720430106,2010
99,Call of Duty: World at War,X360,2008.0,Shooter,Activision,4.79,1.9,0.0,0.69,7.37,7.379999999999999,0.6490514905149053,0.25745257452574527,0.0,2000
100,Battlefield 3,X360,2011.0,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34,7.34,0.6076294277929155,0.2901907356948229,0.008174386920980926,2010
101,The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,7.319999999999999,0.5232240437158471,0.29918032786885246,0.0819672131147541,2000
102,Call of Duty: Black Ops 3,XOne,2015.0,Shooter,Activision,4.52,2.09,0.01,0.67,7.3,7.289999999999999,0.6200274348422496,0.28669410150891633,0.0013717421124828533,2010
103,Just Dance,Wii,2009.0,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27,7.27,0.4828060522696011,0.4167812929848693,0.0,2000
104,Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,7.23,0.3941908713692946,0.40525587828492393,0.04840940525587828,2010
105,Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,7.199999999999999,0.4541666666666667,0.3930555555555556,0.011111111111111113,2000
106,Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,7.180000000000001,0.45543175487465176,0.30919220055710306,0.1949860724233983,1990
107,Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,7.13,0.5161290322580645,0.24544179523141654,0.19915848527349228,1990
108,Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,7.06,0.6246458923512749,0.1473087818696884,0.19688385269121814,2000
109,Mario Kart 8,WiiU,2014.0,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,6.959999999999999,0.44971264367816094,0.2974137931034483,0.1824712643678161,2010
110,Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,6.960000000000001,0.35488505747126436,0.45258620689655166,0.03448275862068965,2010
111,Mario Kart: Double Dash!!,GC,2003.0,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,6.950000000000001,0.5928057553956834,0.2546762589928057,0.1251798561151079,2000
112,Just Dance 4,Wii,2012.0,Misc,Ubisoft,4.14,2.21,0.0,0.56,6.91,6.91,0.5991316931982633,0.31982633863965265,0.0,2010
113,FIFA 14,PS3,2013.0,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,6.9,0.11304347826086956,0.6260869565217392,0.010144927536231885,2010
114,Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,6.9,0.3927536231884058,0.43768115942028984,0.011594202898550725,2000
115,Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,6.84,0.4283625730994152,0.402046783625731,0.024853801169590645,2000
116,Uncharted 3: Drake's Deception,PS3,2011.0,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,6.82,0.40615835777126097,0.4105571847507331,0.02785923753665689,2010
117,Crash Bandicoot,PS,1996.0,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,6.819999999999999,0.4736070381231672,0.34457478005865105,0.13782991202346043,1990
118,Zumba Fitness,Wii,2010.0,Sports,505 Games,3.5,2.64,0.0,0.67,6.81,6.8100000000000005,0.5139500734214391,0.3876651982378855,0.0,2010
119,Gears of War 2,X360,2008.0,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76,6.77,0.6129985228951257,0.28360413589364847,0.008862629246676515,2000
120,Uncharted 2: Among Thieves,PS3,2009.0,Action,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.73,6.7299999999999995,0.4858841010401189,0.3343239227340268,0.031203566121842496,2000
121,Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision,3.1,2.3,0.28,1.04,6.72,6.720000000000001,0.4613095238095238,0.3422619047619047,0.041666666666666664,2000
122,FIFA 12,PS3,2011.0,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69,6.69,0.12556053811659193,0.6457399103139013,0.016442451420029893,2010
123,Big Brain Academy,DS,2005.0,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67,6.669999999999999,0.2503748125937032,0.41679160419790107,0.23988005997001505,2000
124,Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,6.6000000000000005,0.4227272727272727,0.3954545454545454,0.025757575757575757,2010
125,FIFA 15,PS4,2014.0,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59,6.6,0.1196969696969697,0.65,0.007575757575757577,2010
126,Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,6.59,0.4931714719271624,0.27921092564491656,0.15629742033383917,2010
127,The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,6.56,0.38871951219512196,0.413109756097561,0.038109756097560975,2010
128,The Legend of Zelda,NES,1986.0,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,6.499999999999999,0.5753846153846155,0.1430769230769231,0.26,1980
129,Assassin's Creed III,PS3,2012.0,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5,6.5,0.4061538461538462,0.39384615384615385,0.024615384615384615,2010
130,Halo: Combat Evolved,XB,2001.0,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,6.430000000000001,0.7744945567651633,0.20217729393468117,0.01244167962674961,2000
131,Pokémon Emerald Version,GBA,2004.0,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,6.420000000000001,0.4003115264797507,0.24610591900311524,0.32087227414330216,2000
132,Kingdom Hearts,PS2,2002.0,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,6.4,0.56875,0.18749999999999997,0.23281249999999998,2000
133,Pokémon Crystal Version,GB,2000.0,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,6.39,0.39906103286384975,0.24413145539906106,0.2018779342723005,2000
134,Halo 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36,6.359999999999999,0.6823899371069183,0.21226415094339626,0.009433962264150943,2000
135,Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34,6.33,0.5845181674565562,0.31121642969984203,0.014218009478672985,2010
136,Super Mario Sunshine,GC,2002.0,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,6.31,0.6354992076069731,0.19968304278922347,0.13787638668779714,2000
137,Street Fighter II: The World Warrior,SNES,1992.0,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,6.29,0.3926868044515104,0.13195548489666137,0.4562798092209857,1990
138,World of Warcraft,PC,2004.0,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28,6.28,0.011146496815286625,0.9888535031847133,0.0,2000
139,Driver,PS,1999.0,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,6.26,0.4968051118210863,0.4472843450479233,0.0031948881789137383,1990
140,Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24,6.24,0.6282051282051282,0.28525641025641024,0.004807692307692307,2010
141,Gears of War 3,X360,2011.0,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24,6.23,0.6500802568218298,0.26003210272873195,0.011235955056179775,2010
142,Gears of War,X360,2006.0,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11,6.109999999999999,0.5793780687397709,0.3109656301145663,0.011456628477905077,2000
143,Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,6.05,0.40495867768595045,0.33223140495867765,0.143801652892562,2000
144,Sonic the Hedgehog 2,GEN,1992.0,Platform,Sega,4.47,1.2,0.16,0.19,6.03,6.0200000000000005,0.7425249169435215,0.19933554817275745,0.026578073089700994,1990
145,Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03,6.03,0.43615257048092865,0.2885572139303482,0.1376451077943615,2000
146,Metal Gear Solid,PS,1998.0,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,6.03,0.527363184079602,0.3034825870646766,0.12935323383084577,1990
147,The Last of Us,PS3,2013.0,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99,5.9799999999999995,0.4030100334448161,0.38127090301003347,0.0468227424749164,2010
148,Final Fantasy XII,PS2,2006.0,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,5.95,0.31596638655462184,0.0,0.3915966386554622,2000
149,LittleBigPlanet,PS3,2008.0,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92,5.92,0.47297297297297297,0.34628378378378377,0.028716216216216218,2000
150,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84,5.85,0.11282051282051284,0.11794871794871795,0.7435897435897436,2000
151,LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,LucasArts,3.66,1.63,0.0,0.53,5.83,5.82,0.6288659793814433,0.2800687285223367,0.0,2000
152,Resident Evil 2,PS,1998.0,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,5.819999999999999,0.3230240549828179,0.2525773195876289,0.34707903780068733,1990
153,Tekken 2,PS,1996.0,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,5.74,0.3937282229965156,0.3292682926829268,0.23693379790940766,1990
